1(String),2(String),3(String),4(String),6(Int),7(Int),8(Int),9(Int),10(Int),11(Int)
d1eca__,1eca,,a.1.1.2,46456,46457,46458,46463,46479,46480
d1ecn__,1ecn,,a.1.1.2,46456,46457,46458,46463,46479,46480
d1ecd__,1ecd,,a.1.1.2,46456,46457,46458,46463,46479,46480
d2gdm__,2gdm,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1gdj__,1gdj,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1gdi__,1gdi,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1gdk__,1gdk,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1gdl__,1gdl,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1lh2__,1lh2,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1lh5__,1lh5,,a.1.1.2,46456,46457,46458,46463,46481,46482
d2lh1__,2lh1,,a.1.1.2,46456,46457,46458,46463,46481,46482
d2lh7__,2lh7,,a.1.1.2,46456,46457,46458,46463,46481,46482
d2lh2__,2lh2,,a.1.1.2,46456,46457,46458,46463,46481,46482
d2lh5__,2lh5,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1lh1__,1lh1,,a.1.1.2,46456,46457,46458,46463,46481,46482
d2lh6__,2lh6,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1lh7__,1lh7,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1lh3__,1lh3,,a.1.1.2,46456,46457,46458,46463,46481,46482
d2lh3__,2lh3,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1lh6__,1lh6,,a.1.1.2,46456,46457,46458,46463,46481,46482
d1fsla_,1fsl,A:,a.1.1.2,46456,46457,46458,46463,46481,46483
d1fslb_,1fsl,B:,a.1.1.2,46456,46457,46458,46463,46481,46483
d1bina_,1bin,A:,a.1.1.2,46456,46457,46458,46463,46481,46483
d1binb_,1bin,B:,a.1.1.2,46456,46457,46458,46463,46481,46483
d1d8ua_,1d8u,A:,a.1.1.2,46456,46457,46458,46463,46484,46485
d1d8ub_,1d8u,B:,a.1.1.2,46456,46457,46458,46463,46484,46485
d1irda_,1ird,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j41a_,1j41,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j41c_,1j41,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j41e_,1j41,E:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j41g_,1j41,G:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j40a_,1j40,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j40c_,1j40,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j40e_,1j40,E:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j40g_,1j40,G:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1baba_,1bab,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1babc_,1bab,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3ya_,1j3y,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3yc_,1j3y,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3ye_,1j3y,E:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3yg_,1j3y,G:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bz0a_,1bz0,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bz0c_,1bz0,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3za_,1j3z,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3zc_,1j3z,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3ze_,1j3z,E:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j3zg_,1j3z,G:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1ns9a_,1ns9,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bz1a_,1bz1,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bz1c_,1bz1,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bzza_,1bzz,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bzzc_,1bzz,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j7ya_,1j7y,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j7yc_,1j7y,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1thba_,1thb,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1thbc_,1thb,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1nqpa_,1nqp,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1nqpc_,1nqp,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qsha_,1qsh,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qshc_,1qsh,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a3na_,1a3n,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a3nc_,1a3n,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hhba_,2hhb,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hhbc_,2hhb,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bbba_,1bbb,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1bbbc_,1bbb,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1dxua_,1dxu,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1dxuc_,1dxu,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1dxva_,1dxv,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1dxvc_,1dxv,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d4hhba_,4hhb,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d4hhbc_,4hhb,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qsia_,1qsi,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qsic_,1qsi,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1sdka_,1sdk,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1sdkc_,1sdk,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1dxta_,1dxt,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1dxtc_,1dxt,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1oa_,1o1o,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1oc_,1o1o,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1c7ca1,1c7c,A:1-142,a.1.1.2,46456,46457,46458,46463,46486,46487
d1c7ca2,1c7c,A:143-283,a.1.1.2,46456,46457,46458,46463,46486,46487
d1sdla_,1sdl,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1sdlc_,1sdl,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qi8a_,1qi8,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qi8c_,1qi8,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1na1,1o1n,A:1-141,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1na2,1o1n,A:145-285,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1ja1,1o1j,A:1-142,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1ja2,1o1j,A:143-283,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a3oa_,1a3o,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a3oc_,1a3o,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1pa1,1o1p,A:1-142,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1pa2,1o1p,A:143-283,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a01a_,1a01,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a01c_,1a01,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qxea_,1qxe,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1qxec_,1qxe,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1r1ya_,1r1y,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1r1yc_,1r1y,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1g9va_,1g9v,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1g9vc_,1g9v,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1k0ya_,1k0y,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1k0yc_,1k0y,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d3hhba_,3hhb,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1c7ba_,1c7b,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1c7bc_,1c7b,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1rq3a_,1rq3,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1rq3c_,1rq3,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1gbua_,1gbu,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1gbuc_,1gbu,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1c7da1,1c7d,A:1-142,a.1.1.2,46456,46457,46458,46463,46486,46487
d1c7da2,1c7d,A:143-284,a.1.1.2,46456,46457,46458,46463,46486,46487
d1vwta_,1vwt,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1vwtc_,1vwt,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1uiwa_,1uiw,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1uiwc_,1uiw,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1uiwe_,1uiw,E:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1uiwg_,1uiw,G:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1ns6a_,1ns6,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1abwa1,1abw,A:1-142,a.1.1.2,46456,46457,46458,46463,46486,46487
d1abwa2,1abw,A:143-283,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1ma1,1o1m,A:1-141,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1ma2,1o1m,A:145-285,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1la1,1o1l,A:1-142,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1la2,1o1l,A:143-283,a.1.1.2,46456,46457,46458,46463,46486,46487
d1clsa_,1cls,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1clsc_,1cls,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a00a_,1a00,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a00c_,1a00,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1buwa_,1buw,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1buwc_,1buw,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hbsa_,2hbs,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hbsc_,2hbs,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hbse_,2hbs,E:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hbsg_,2hbs,G:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1hbba_,1hbb,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1hbbc_,1hbb,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a0za_,1a0z,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a0zc_,1a0z,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1kd2a_,1kd2,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1kd2c_,1kd2,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j7wa_,1j7w,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j7wc_,1j7w,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1ka_,1o1k,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1o1kc_,1o1k,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d6hbwa_,6hbw,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d6hbwc_,6hbw,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hhda_,2hhd,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d2hhdc_,2hhd,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j7sa_,1j7s,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1j7sc_,1j7s,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a0ya_,1a0y,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1a0yc_,1a0y,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1k1ka_,1k1k,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1rpsa_,1rps,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1rpsc_,1rps,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1gbva_,1gbv,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1gbvc_,1gbv,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1axfa_,1axf,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1axfc_,1axf,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1hdba_,1hdb,A:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1hdbc_,1hdb,C:,a.1.1.2,46456,46457,46458,46463,46486,46487
d1dlwa_,1dlw,A:,a.1.1.1,46456,46457,46458,46459,46460,46461
d1uvya_,1uvy,A:,a.1.1.1,46456,46457,46458,46459,46460,46461
d1dlya_,1dly,A:,a.1.1.1,46456,46457,46458,46459,46460,46462
d1uvxa_,1uvx,A:,a.1.1.1,46456,46457,46458,46459,46460,46462
d1s69a_,1s69,A:,a.1.1.1,46456,46457,46458,46459,46460,81667
d1s6aa_,1s6a,A:,a.1.1.1,46456,46457,46458,46459,46460,81667
d1rtxa_,1rtx,A:,a.1.1.1,46456,46457,46458,46459,46460,81667
d1mwba_,1mwb,A:,a.1.1.1,46456,46457,46458,46459,46460,81667
d1rtea_,1rte,A:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1rteb_,1rte,B:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1idra_,1idr,A:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1idrb_,1idr,B:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1s61a_,1s61,A:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1s61b_,1s61,B:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1s56a_,1s56,A:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1s56b_,1s56,B:,a.1.1.1,46456,46457,46458,46459,46460,63437
d1ngka_,1ngk,A:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkb_,1ngk,B:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkc_,1ngk,C:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkd_,1ngk,D:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngke_,1ngk,E:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkf_,1ngk,F:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkg_,1ngk,G:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkh_,1ngk,H:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngki_,1ngk,I:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkj_,1ngk,J:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkk_,1ngk,K:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1ngkl_,1ngk,L:,a.1.1.1,46456,46457,46458,46459,46460,88965
d1kr7a_,1kr7,A:,a.1.1.4,46456,46457,46458,74660,74661,74662
d1v07a_,1v07,A:,a.1.1.4,46456,46457,46458,74660,74661,74662
d3sdha_,3sdh,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d3sdhb_,3sdh,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d3hbia_,3hbi,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d3hbib_,3hbi,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1jzla_,1jzl,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1jzlb_,1jzl,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d4sdha_,4sdh,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d4sdhb_,4sdh,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d5hbia_,5hbi,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d5hbib_,5hbi,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d7hbia_,7hbi,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d7hbib_,7hbi,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d4hbia_,4hbi,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d4hbib_,4hbi,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1hbia_,1hbi,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1hbib_,1hbi,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d2hbia_,2hbi,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d2hbib_,2hbi,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d6hbia_,6hbi,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d6hbib_,6hbi,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1jzma_,1jzm,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1jzmb_,1jzm,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1nxfa_,1nxf,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1nxfb_,1nxf,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1scta_,1sct,A:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1sctb_,1sct,B:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1sctc_,1sct,C:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1sctd_,1sct,D:,a.1.1.2,46456,46457,46458,46463,46464,46465
d1scte_,1sct,E:,a.1.1.2,46456,46457,46458,46463,46464,46465
