fnlwgt,age,hours-per-week,occupation,education-num,capital-gain,workclass,relationship,marital-status,education,race,native-country,capital-loss,sex
59496,30,40,Sales,13,2407,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
293936,32,40,?,4,0,?,Not-in-family,Married-spouse-absent,7th-8th,White,?,0,Male
149640,48,40,Transport-moving,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
116632,42,45,Prof-specialty,16,0,Private,Husband,Married-civ-spouse,Doctorate,White,United-States,0,Male
105598,29,58,Tech-support,10,0,Private,Not-in-family,Divorced,Some-college,White,United-States,0,Male
155537,36,40,Craft-repair,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
183175,28,40,Adm-clerical,10,0,Private,Not-in-family,Divorced,Some-college,White,United-States,0,Female
169846,53,40,Adm-clerical,9,0,Private,Wife,Married-civ-spouse,HS-grad,White,United-States,0,Female
191681,49,50,Exec-managerial,10,0,Self-emp-inc,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
200681,25,40,?,10,0,?,Own-child,Never-married,Some-college,White,United-States,0,Male
101509,19,32,Prof-specialty,10,0,Private,Own-child,Never-married,Some-college,White,United-States,0,Male
309974,31,40,Sales,13,0,Private,Own-child,Separated,Bachelors,Black,United-States,0,Female
162298,29,70,Sales,13,0,Self-emp-not-inc,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
211678,23,40,Machine-op-inspct,10,0,Private,Not-in-family,Never-married,Some-college,White,United-States,0,Male
124744,79,20,Prof-specialty,10,0,Private,Other-relative,Married-civ-spouse,Some-college,White,United-States,0,Male
213921,27,40,Other-service,9,0,Private,Own-child,Never-married,HS-grad,White,Mexico,0,Male
32214,40,40,Adm-clerical,12,0,Private,Husband,Married-civ-spouse,Assoc-acdm,White,United-States,0,Male
212759,67,2,?,6,0,?,Husband,Married-civ-spouse,10th,White,United-States,0,Male
309634,18,22,Other-service,7,0,Private,Own-child,Never-married,11th,White,United-States,0,Female
125927,31,40,Farming-fishing,4,0,Local-gov,Husband,Married-civ-spouse,7th-8th,White,United-States,0,Male
446839,18,30,Sales,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,0,Male
276515,52,40,Other-service,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,Cuba,0,Male
51618,46,40,Other-service,9,0,Private,Wife,Married-civ-spouse,HS-grad,White,United-States,0,Female
159937,59,48,Sales,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
343591,44,40,Craft-repair,9,14344,Private,Not-in-family,Divorced,HS-grad,White,United-States,0,Female
346253,53,35,Sales,9,0,Private,Own-child,Divorced,HS-grad,White,United-States,0,Female
268234,49,40,Protective-serv,9,0,Local-gov,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
202051,33,50,Prof-specialty,14,0,Private,Husband,Married-civ-spouse,Masters,White,United-States,0,Male
54334,30,40,Sales,5,0,Private,Not-in-family,Never-married,9th,White,United-States,0,Male
410867,43,50,Prof-specialty,16,0,Federal-gov,Not-in-family,Never-married,Doctorate,White,United-States,0,Female
249977,57,40,Prof-specialty,11,0,Private,Husband,Married-civ-spouse,Assoc-voc,White,United-States,0,Male
286730,37,40,Craft-repair,10,0,Private,Unmarried,Divorced,Some-college,White,United-States,0,Female
212563,28,25,Machine-op-inspct,10,0,Private,Unmarried,Divorced,Some-college,Black,United-States,0,Female
117747,30,35,Sales,9,0,Private,Wife,Married-civ-spouse,HS-grad,Asian-Pac-Islander,?,1573,Female
226296,34,40,Protective-serv,13,0,Local-gov,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
115585,29,50,Handlers-cleaners,10,0,Local-gov,Not-in-family,Never-married,Some-college,White,United-States,0,Male
191277,48,60,Prof-specialty,16,0,Self-emp-not-inc,Husband,Married-civ-spouse,Doctorate,White,United-States,1902,Male
202683,37,48,Sales,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
171095,48,40,Exec-managerial,12,0,Private,Unmarried,Divorced,Assoc-acdm,White,England,0,Female
249409,32,40,Other-service,9,0,Federal-gov,Own-child,Never-married,HS-grad,Black,United-States,0,Male
124191,76,40,Exec-managerial,14,0,Private,Husband,Married-civ-spouse,Masters,White,United-States,0,Male
198282,44,60,Exec-managerial,13,15024,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
149116,47,50,Prof-specialty,14,0,Self-emp-not-inc,Not-in-family,Never-married,Masters,White,United-States,0,Female
188300,20,40,Tech-support,10,0,Private,Own-child,Never-married,Some-college,White,United-States,0,Female
103432,29,40,Craft-repair,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,0,Male
317660,32,40,Craft-repair,9,7688,Self-emp-inc,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
304873,17,32,?,6,34095,?,Own-child,Never-married,10th,White,United-States,0,Female
194901,30,40,Handlers-cleaners,7,0,Private,Own-child,Never-married,11th,White,United-States,0,Male
189265,31,40,Adm-clerical,9,0,Local-gov,Not-in-family,Never-married,HS-grad,White,United-States,0,Female
124692,42,40,Handlers-cleaners,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
432376,24,40,Sales,13,0,Private,Other-relative,Never-married,Bachelors,White,United-States,0,Male
65324,38,40,Prof-specialty,15,0,Private,Husband,Married-civ-spouse,Prof-school,White,United-States,0,Male
335605,56,50,Other-service,9,0,Self-emp-not-inc,Husband,Married-civ-spouse,HS-grad,White,Canada,1887,Male
377869,28,25,Sales,10,4064,Private,Wife,Married-civ-spouse,Some-college,White,United-States,0,Female
102864,36,40,Machine-op-inspct,9,0,Private,Own-child,Never-married,HS-grad,White,United-States,0,Female
95647,53,50,Handlers-cleaners,5,0,Private,Husband,Married-civ-spouse,9th,White,United-States,0,Male
303090,56,50,Sales,10,0,Self-emp-inc,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
197371,49,40,Craft-repair,11,0,Local-gov,Husband,Married-civ-spouse,Assoc-voc,Black,United-States,0,Male
247552,55,56,Sales,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
102632,22,41,Craft-repair,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,0,Male
199915,21,40,Other-service,10,0,Private,Own-child,Never-married,Some-college,White,United-States,0,Female
118853,40,60,Exec-managerial,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
77143,30,40,Exec-managerial,13,0,Private,Own-child,Never-married,Bachelors,Black,Germany,0,Male
267989,29,50,Prof-specialty,13,0,State-gov,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
301606,19,35,Other-service,10,0,Private,Own-child,Never-married,Some-college,Black,United-States,0,Male
287828,47,40,Exec-managerial,13,0,Private,Wife,Married-civ-spouse,Bachelors,White,United-States,0,Female
111697,20,28,Adm-clerical,10,0,Private,Own-child,Never-married,Some-college,White,United-States,1719,Female
114937,31,40,Adm-clerical,12,0,Private,Husband,Married-civ-spouse,Assoc-acdm,White,United-States,0,Male
129305,35,40,?,9,0,?,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
365739,39,40,Craft-repair,10,0,Private,Not-in-family,Divorced,Some-college,White,United-States,0,Male
69621,28,60,Sales,12,0,Private,Not-in-family,Never-married,Assoc-acdm,White,United-States,0,Female
43323,24,40,Other-service,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,1762,Female
120985,38,35,Craft-repair,9,4386,Self-emp-not-inc,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
254202,37,50,Sales,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
146195,46,36,Tech-support,12,0,Private,Not-in-family,Divorced,Assoc-acdm,Black,United-States,0,Female
125933,38,40,Prof-specialty,14,0,Federal-gov,Husband,Married-civ-spouse,Masters,White,Iran,0,Male
56920,43,60,Craft-repair,9,0,Self-emp-not-inc,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
163127,27,35,Adm-clerical,11,0,Private,Wife,Married-civ-spouse,Assoc-voc,White,United-States,0,Female
34310,20,20,Sales,10,0,Private,Own-child,Never-married,Some-college,White,United-States,0,Male
81973,49,40,Craft-repair,10,0,Private,Husband,Married-civ-spouse,Some-college,Asian-Pac-Islander,United-States,0,Male
66614,61,40,Craft-repair,9,0,Self-emp-inc,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
232782,27,40,Sales,10,0,Private,Own-child,Never-married,Some-college,White,United-States,0,Female
316868,19,30,Other-service,10,0,Private,Own-child,Never-married,Some-college,White,Mexico,0,Male
196584,45,40,Prof-specialty,11,0,Private,Not-in-family,Never-married,Assoc-voc,White,United-States,1564,Female
105376,70,40,Tech-support,10,0,Private,Other-relative,Never-married,Some-college,White,United-States,0,Male
185814,31,30,Transport-moving,9,0,Private,Unmarried,Never-married,HS-grad,Black,United-States,0,Female
175374,22,24,Other-service,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
108293,36,24,Other-service,9,0,Private,Unmarried,Widowed,HS-grad,White,United-States,0,Female
181232,64,40,Craft-repair,7,0,Private,Husband,Married-civ-spouse,11th,White,United-States,2179,Male
174662,43,40,?,10,0,?,Not-in-family,Divorced,Some-college,White,United-States,0,Female
186009,47,38,Adm-clerical,10,0,Local-gov,Unmarried,Divorced,Some-college,White,Mexico,0,Female
198183,34,40,Adm-clerical,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,0,Female
163003,33,40,Exec-managerial,13,0,Private,Other-relative,Never-married,Bachelors,Asian-Pac-Islander,Philippines,0,Female
296158,21,35,Craft-repair,9,0,Private,Own-child,Never-married,HS-grad,White,United-States,0,Male
252903,52,45,?,9,0,?,Not-in-family,Divorced,HS-grad,White,United-States,0,Male
187715,48,46,Craft-repair,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
214542,23,40,Handlers-cleaners,13,0,Private,Not-in-family,Never-married,Bachelors,White,United-States,0,Male
494223,71,2,Sales,10,0,Self-emp-not-inc,Unmarried,Separated,Some-college,Black,United-States,1816,Male
191535,29,60,Craft-repair,9,0,Private,Not-in-family,Divorced,HS-grad,White,United-States,0,Male
228456,42,50,Other-service,13,0,Private,Other-relative,Separated,Bachelors,Black,United-States,0,Male
38317,68,20,?,2,0,?,Not-in-family,Divorced,1st-4th,White,United-States,0,Female
252752,25,40,Other-service,9,0,Private,Unmarried,Never-married,HS-grad,White,United-States,0,Female
78374,44,40,Exec-managerial,14,0,Self-emp-inc,Unmarried,Divorced,Masters,Asian-Pac-Islander,United-States,0,Female
88419,28,40,Exec-managerial,9,0,Private,Not-in-family,Never-married,HS-grad,Asian-Pac-Islander,England,0,Female
201080,45,40,Sales,14,0,Self-emp-not-inc,Husband,Married-civ-spouse,Masters,White,United-States,0,Male
207157,36,40,Other-service,10,0,Private,Unmarried,Divorced,Some-college,White,Mexico,0,Female
235485,39,42,Exec-managerial,12,0,Federal-gov,Not-in-family,Never-married,Assoc-acdm,White,United-States,0,Male
102628,46,40,Protective-serv,14,0,State-gov,Unmarried,Widowed,Masters,White,United-States,0,Male
25828,18,16,Handlers-cleaners,7,0,Private,Own-child,Never-married,11th,White,United-States,0,Male
54826,66,20,Prof-specialty,11,0,Local-gov,Not-in-family,Widowed,Assoc-voc,White,United-States,0,Female
124953,27,40,Other-service,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,1980,Male
175325,28,40,Protective-serv,9,0,State-gov,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
96062,51,40,Sales,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,1977,Male
428030,27,50,Craft-repair,13,0,Private,Not-in-family,Never-married,Bachelors,White,United-States,0,Male
149624,28,40,Prof-specialty,13,0,State-gov,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
253814,27,25,Sales,9,0,Private,Unmarried,Married-spouse-absent,HS-grad,White,United-States,0,Female
312956,21,40,Craft-repair,9,0,Private,Own-child,Never-married,HS-grad,Black,United-States,0,Male
483777,34,40,Handlers-cleaners,9,0,Private,Not-in-family,Never-married,HS-grad,Black,United-States,0,Male
183930,18,12,Other-service,9,0,Private,Own-child,Never-married,HS-grad,White,United-States,0,Male
37274,33,65,Prof-specialty,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
181344,44,38,Exec-managerial,10,0,Local-gov,Husband,Married-civ-spouse,Some-college,Black,United-States,0,Male
114580,43,40,Adm-clerical,10,0,Private,Not-in-family,Divorced,Some-college,White,United-States,0,Female
633742,30,45,Craft-repair,10,0,Private,Not-in-family,Never-married,Some-college,Black,United-States,0,Male
286370,40,40,Machine-op-inspct,4,0,Private,Husband,Married-civ-spouse,7th-8th,White,Mexico,0,Male
29054,37,42,Adm-clerical,10,0,Federal-gov,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
304030,34,40,Adm-clerical,9,0,Private,Husband,Married-civ-spouse,HS-grad,Black,United-States,0,Male
143129,41,40,Exec-managerial,13,0,Self-emp-not-inc,Not-in-family,Divorced,Bachelors,White,United-States,0,Female
135105,53,50,?,13,0,?,Not-in-family,Divorced,Bachelors,White,United-States,0,Female
99928,31,50,Prof-specialty,14,0,Private,Wife,Married-civ-spouse,Masters,White,United-States,0,Female
109567,58,1,Prof-specialty,16,0,State-gov,Husband,Married-civ-spouse,Doctorate,White,United-States,0,Male
155222,38,28,Machine-op-inspct,10,0,Private,Not-in-family,Divorced,Some-college,Black,United-States,0,Female
159567,24,40,Machine-op-inspct,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
523910,41,40,Craft-repair,13,0,Local-gov,Husband,Married-civ-spouse,Bachelors,Black,United-States,0,Male
120939,47,45,Tech-support,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
130760,41,24,Tech-support,13,0,Federal-gov,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
197387,23,40,Transport-moving,3,0,Private,Other-relative,Married-civ-spouse,5th-6th,White,Mexico,0,Male
99374,36,40,Craft-repair,10,0,Private,Not-in-family,Divorced,Some-college,White,United-States,0,Male
56795,40,55,Exec-managerial,14,14084,Federal-gov,Not-in-family,Never-married,Masters,White,United-States,0,Female
138992,35,40,Prof-specialty,14,7298,Private,Other-relative,Married-civ-spouse,Masters,White,United-States,0,Male
32921,24,40,Sales,9,0,Self-emp-not-inc,Not-in-family,Never-married,HS-grad,White,United-States,0,Male
397317,26,40,Prof-specialty,14,0,Private,Not-in-family,Never-married,Masters,White,United-States,1876,Female
170653,19,40,?,9,0,?,Own-child,Never-married,HS-grad,White,Italy,0,Male
259323,51,50,Exec-managerial,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
254817,42,40,Prof-specialty,10,0,Local-gov,Not-in-family,Never-married,Some-college,White,United-States,1340,Female
48211,37,35,Adm-clerical,9,0,State-gov,Unmarried,Divorced,HS-grad,White,United-States,0,Female
140164,18,40,Sales,7,0,Private,Own-child,Never-married,11th,White,United-States,0,Female
128757,36,36,Other-service,13,7298,Private,Husband,Married-civ-spouse,Bachelors,Black,United-States,0,Male
36270,35,60,Craft-repair,9,0,Private,Not-in-family,Divorced,HS-grad,White,United-States,0,Male
210563,58,35,Sales,9,15024,Self-emp-inc,Wife,Married-civ-spouse,HS-grad,White,United-States,0,Female
65368,17,12,Sales,7,0,Private,Own-child,Never-married,11th,White,United-States,0,Female
160943,44,40,Transport-moving,9,0,Local-gov,Husband,Married-civ-spouse,HS-grad,Black,United-States,0,Male
208358,37,40,Craft-repair,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
153790,35,40,Sales,10,0,Private,Not-in-family,Never-married,Some-college,Amer-Indian-Eskimo,United-States,0,Female
85815,60,40,Craft-repair,9,0,Private,Husband,Married-civ-spouse,HS-grad,Asian-Pac-Islander,United-States,0,Male
125417,54,40,Machine-op-inspct,4,0,Self-emp-inc,Husband,Married-civ-spouse,7th-8th,White,United-States,0,Male
635913,37,60,Exec-managerial,13,0,Private,Not-in-family,Never-married,Bachelors,Black,United-States,0,Male
313321,50,40,Sales,12,0,Private,Not-in-family,Divorced,Assoc-acdm,White,United-States,0,Female
182609,38,50,Sales,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,Poland,0,Male
109434,45,55,Prof-specialty,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
255004,25,40,Craft-repair,6,0,Private,Not-in-family,Never-married,10th,White,United-States,0,Male
197860,31,40,Handlers-cleaners,10,0,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
187656,64,40,?,2,0,?,Not-in-family,Divorced,1st-4th,White,United-States,0,Male
51744,90,40,Other-service,9,0,Private,Not-in-family,Never-married,HS-grad,Black,United-States,2206,Male
176681,54,20,Adm-clerical,9,0,Private,Husband,Married-civ-spouse,HS-grad,Black,United-States,0,Male
140359,53,35,Machine-op-inspct,1,0,Local-gov,Not-in-family,Never-married,Preschool,White,United-States,0,Female
243313,18,40,Sales,9,0,Private,Own-child,Never-married,HS-grad,White,United-States,0,Female
24215,60,10,?,6,0,?,Not-in-family,Divorced,10th,Amer-Indian-Eskimo,United-States,0,Female
167687,66,50,Farming-fishing,9,1409,Self-emp-not-inc,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
314209,75,20,Adm-clerical,11,0,Private,Not-in-family,Widowed,Assoc-voc,White,Columbia,0,Female
176796,65,40,Adm-clerical,9,0,Private,Not-in-family,Divorced,HS-grad,White,United-States,0,Female
538583,35,40,Transport-moving,7,3674,Private,Not-in-family,Separated,11th,Black,United-States,0,Male
130408,41,38,Sales,9,0,Private,Unmarried,Divorced,HS-grad,Black,United-States,0,Female
159732,25,42,Adm-clerical,10,0,Private,Not-in-family,Never-married,Some-college,White,United-States,0,Male
110978,33,40,Craft-repair,10,0,Private,Other-relative,Divorced,Some-college,Other,United-States,0,Female
76714,28,55,Prof-specialty,15,0,Private,Not-in-family,Never-married,Prof-school,White,United-States,0,Male
268700,59,40,Other-service,9,0,State-gov,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
170525,40,38,Adm-clerical,10,0,State-gov,Not-in-family,Never-married,Some-college,White,United-States,0,Female
180138,41,50,Exec-managerial,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,Iran,0,Male
115076,38,70,Exec-managerial,14,0,Local-gov,Husband,Married-civ-spouse,Masters,White,United-States,0,Male
115458,23,40,Transport-moving,9,0,Private,Own-child,Never-married,HS-grad,White,United-States,0,Male
347890,40,40,Prof-specialty,13,0,Private,Husband,Married-civ-spouse,Bachelors,White,United-States,0,Male
196001,41,20,Other-service,9,0,Self-emp-not-inc,Wife,Married-civ-spouse,HS-grad,White,United-States,0,Female
273905,24,50,Protective-serv,12,0,State-gov,Husband,Married-civ-spouse,Assoc-acdm,White,United-States,0,Male
119156,20,20,?,10,0,?,Own-child,Never-married,Some-college,White,United-States,0,Male
179488,38,40,Craft-repair,10,0,Private,Not-in-family,Divorced,Some-college,White,United-States,1741,Male
203580,56,35,Adm-clerical,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,?,0,Male
236596,58,45,Adm-clerical,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
183916,32,34,Other-service,9,0,Private,Not-in-family,Never-married,HS-grad,White,United-States,0,Female
207578,40,60,Tech-support,12,0,Private,Husband,Married-civ-spouse,Assoc-acdm,White,United-States,1977,Male
153141,45,40,Adm-clerical,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,?,0,Male
112763,41,40,Prof-specialty,15,0,Private,Wife,Married-civ-spouse,Prof-school,White,United-States,0,Female
390781,42,40,Adm-clerical,13,0,Private,Wife,Married-civ-spouse,Bachelors,Black,United-States,0,Female
171328,59,30,Other-service,6,0,Local-gov,Unmarried,Widowed,10th,Black,United-States,0,Female
27382,19,40,Adm-clerical,10,0,Local-gov,Own-child,Never-married,Some-college,White,United-States,0,Male
259014,58,20,Transport-moving,10,0,Private,Not-in-family,Never-married,Some-college,White,United-States,0,Male
303044,42,40,Farming-fishing,9,0,Self-emp-not-inc,Husband,Married-civ-spouse,HS-grad,Asian-Pac-Islander,Cambodia,0,Male
117789,20,40,Other-service,9,0,Private,Own-child,Never-married,HS-grad,White,United-States,0,Female
172579,32,30,Other-service,9,0,Private,Not-in-family,Separated,HS-grad,White,United-States,0,Female
187666,45,45,Exec-managerial,11,0,Private,Not-in-family,Widowed,Assoc-voc,White,United-States,0,Female
204518,50,40,Craft-repair,4,0,Private,Not-in-family,Divorced,7th-8th,White,United-States,0,Male
150042,36,40,Prof-specialty,13,0,Private,Own-child,Divorced,Bachelors,White,United-States,0,Female
98092,45,60,Sales,9,0,Private,Husband,Married-civ-spouse,HS-grad,White,United-States,0,Male
245918,17,12,Other-service,7,0,Private,Own-child,Never-married,11th,White,United-States,0,Male
146013,59,40,Sales,10,4064,Private,Husband,Married-civ-spouse,Some-college,White,United-States,0,Male
378322,26,40,Craft-repair,7,0,Private,Husband,Married-civ-spouse,11th,White,United-States,0,Male
257295,37,75,Exec-managerial,10,0,Self-emp-inc,Husband,Married-civ-spouse,Some-college,Asian-Pac-Islander,Thailand,0,Male
218956,19,24,?,10,0,?,Own-child,Never-married,Some-college,White,Canada,0,Male
