query,scenario,profession,mental_health_status,age,education_level,health_status,economic_status,marital_status,gender
"Should I apply for a better MPhil program in HK or a one-year MA program in Europe, or try to get into a PhD program?",education,teacher,not specified,40,Masters,healthy,middle class,not given,not given
What should I buy now while I'm still employed/soon to be a broke grad student?,education,not given,not given,35,graduate degree,healthy,limited funds,not given,not given
What do I do?,education,graduate student,"depressed, having suicidal thoughts",approximately 30,almost a master's,experiencing medical debt,financially struggling,in a relationship,female
How can I leave STEM entirely?,education,grad student,not healthy,25,graduate,not healthy,not given,not given,not given
Am I too sensitive if this bothers me?,education,teacher,feeling down,late 20s/early 30s,MA,struggling with physical and mental health consequences,middle class,single,female
Should I continue my PhD or quit and return to industry with my Master's?,education,PhD student,burnout,early 30s,PhD student,not specified,middle class,not given,male
What advice do you have on paying for college with US student loans?,education,student,impacted by family dynamics,26,undergraduate,healthy,middle class,single,female
Should I pursue my MSW or join the academy for law enforcement?,education,Assessment/Investigations Caseworker,struggles with mental illness,24,BA in Sociology-Criminology,healthy,middle class,in a relationship,female
Am I even a good candidate? Should I take time off?,education,lab assistant,severe depression,around 30,PhD,dealing with severe depression and health issues,poor,not given,not given
What have your experiences post-defense been? How are you recovering?,education,full-time employee,not specified,30-40,doctorate,injured,middle class,not specified,male
How can I stand up for myself in a way that doesn't isolate me further? How do I ignore the cliques and overall immaturity but remain connected?,education,student,struggling with self-esteem,22,MFA program,healthy,middle class,single,female
What do I do to cope with my anxiety and stress during grad school?,education,graduate student,experiencing depressive symptoms,25-30,master's,not healthy,struggling,single,female
"Does anyone have advice, encouragement, or kindness to offer?",education,PhD student,"PTSD, on psychiatric medication",30s,master's degree,"poor, chronic fatigue, severe colds",dependent on family,single,not given
I need advice on selecting a master’s program and specialization.,education,student,unsure about abilities,26,bachelor's degree,healthy,unemployed,single,female
Should I go to grad school?,education,speech therapist,anxiety,25,bachelor's degree,healthy,middle class,single,female
Are my MPH chances gone after being suspended from school for fighting?,education,public health major,upset and desolate,20,undergraduate,not given,not given,not given,not given
Is it worth going to the US to pursue a master's degree in AI?,education,project manager,quarter-life crisis,25,bachelor's degree,healthy,middle class,single,male
How can I decide between pursuing an MFA or a policy program for grad school?,education,restaurant industry and non-profit sector,not specified,mid-thirties,undergraduate,healthy,poor,single,female
How to get the first job in engineering while doing my master's degree?,education,student,frustrated,23,master's degree,healthy,middle class,single,male
What would you do in my boat?,education,doctoral student,not specified,31,doctoral degree,burnout,very little money,not specified,female
Is there any hope left for my friend to complete their thesis?,education,entry-level job,issues with substance abuse,30s,master's degree,some health issues,middle class,single,not given
Should I reconsider my career path?,education,research positions,in a funk,25,bachelor's degree,healthy,middle class,single,male
Do I have any other options to draw my current coverage out any longer or do I literally just have to suck it up and deal with the nonstop switching around?,education,unpaid counseling intern,not given,25,graduate program,not given,not given,not given,not given
Can I do this?,education,digital marketing,anxiety,34,graduate degree,healthy,middle class,married,female
Does anyone have tips on how I can still be active with my home and social life while balancing grad school and work?,education,teacher aid,stressed,23,graduate,healthy,middle class,single,male
"Did any of you meet your partner post-PhD/during postdoc? If so, how different was your dating approach compared to when you were dating during your PhD?",education,PhD student,mental health issues,30,PhD,not specified,middle class,single,female
Who else first started getting their grays/whites during grad school?,education,student,stressed,22,master's degree,healthy,middle class,single,female
How hard is it to maintain an edu-work-life balance?,education,student,stable,22,B.A.,healthy,middle class,single,male
"How can I find balance while managing my studies, work, and family responsibilities?",education,clinic triage nurse,stressed,40s,graduate degree,healthy,middle class,married,female
Should I quit my master's program despite my fiance's insistence to finish it?,education,student,declining mental health,25-30,master's degree,declining physical health,poor,engaged,female
Should I go back to school to make my family proud or stay out to make myself happy?,education,Behavioral Health Worker,overwhelmed,23,bachelor's degree,healthy,middle class,single,female
How do I tell my mother and brother that I’ve transferred graduate programs?,education,graduate student,traumatized,23,bachelor's degree,traumatized from being assaulted,middle class,single,female
Do you ever just question why you're even here?,education,student,depressed,26,undergraduate,not specified,middle class,single,male
Am I destined to fail? Will I not accomplish my dreams?,education,Tech Developer,numb to rejection,18-22,A-level student,malnourished,low income,single,not given
What are my chances for regular decision after being deferred and rejected in early applications?,education,student,uncertain,16,A-Level,deferred heart condition,not applying for financial aid,single,female
What does her academic history and GPA mean for her application process? Will she be rejected? Is there an appeal process? Will it affect her ability to receive financial aid?,education,student,in recovery,over 30,some college,sober,poor,single,female
Do I still have a shot at scholarships as an international student with a low GPA?,education,student,ADHD,17-18,high school,severe illness,lower middle class,divorced,not given
What should I consider when choosing between college options and managing finances?,education,student,feeling stuck,17,high school senior,healthy,middle class,single,female
Is not completing my A-G high school classes an immediate disqualifying factor for college?,education,Lab Technician,unsure,19,some high school,healthy,poor,single,male
How does my application essay read?,education,not given,traumatic experience,early 20s,high school graduate,not given,not given,not given,not given
Should I apply as a transfer or a freshman again?,education,college student,"questioning existence, feeling confused and pressured",19,some college,sick,not given,not given,not given
Where should I apply? What are my chances and what should I do to improve them?,education,student,involved in mental health initiatives,18,high school,major health concern,middle class,single,female
What advice would anyone have?,education,customer service,has been dealing with mental health for years,23,high school,dealing with mental health issues,minimum wage,not given,not given
What do you think are the first steps for someone like me—an unskilled worker with no higher education—who’s ready to start over and work toward something better?,education,unskilled worker,depression,26,no higher education,not healthy,poor,single,male
AITA for applying to every single college in the US?,education,student,none,17,high school,gluten-free,middle class,single,male
"Should I stay in Florida for college given the current political climate, or consider moving to another state or Canada?",education,student,anxious,17,bachelor's degree (in progress),healthy,middle class,single,female
What types of hurdles are there for me as a 25 year old going back to community college and attempting to do so from out of state? What are various scholarships and grants I can apply for that offer a decent amount to help me with not only the financial expenses college has but also housing?,education,Behavior Therapy,not specified,25,some college,healthy,middle class,single,female
What should I do if I'm scared I won't get accepted to college?,education,student,anxiety,18-22,high school,struggling with an eating disorder,middle class,single,female
How can I manage my college applications while comparing aid packages?,education,student,healthy,17,high school senior,healthy,middle class,single,male
What should I do to protect my family from my brother-in-law who is threatening us?,education,chemist,contemplating suicide,50,PhD in chemistry,cancer,financially struggling,married,male
What is the cheapest route to go back to school at my own pace while being undecided on my career path?,education,tradesman,stressed and overwhelmed,20,high school diploma,not healthy due to physical strain from work,middle class,single,male
Really just looking for a school who is strong in business/finance.,education,student and business owner,healthy,17,associates degree,healthy,middle class,single,male
How can I improve my chances of becoming an International Student?,education,student,"depressed, ADHD",19,"second year of Computer Science, first year Law","depressed, ADHD",financially supported by parents,not given,not given
Is there any way for me to significantly improve my GPA at this point?,education,student,experiencing mental health crises,17,12th grade,dealing with ADHD and substance abuse recovery,not given,not given,not given
Let me know your interpretation & your guesses on my likelihood of getting into the colleges I outlined at the top!,education,student,depression and anxiety,16,high school sophomore,not healthy,middle class,single,male
Am I a competitive student for applying to USC and other colleges?,education,student,anxiety,16,high school and community college,autism,not given,not given,not given
Does anyone know if my FAFSA SAI will change drastically by me picking up this new job or what is the max income you can have with one dependent to still qualify for -SAI?,education,job making $19 an hour,postpartum,18,high school,healthy,middle class,single,female
Where can I find universities that I can realistically get into?,education,student,anxious,18-20,high school,healthy,middle class,single,female
Should I go back to college?,education,not given,"depression, anxiety, ADHD",27,associates in applied science,not healthy,not given,not given,not given
What should I do about my mom not letting me go out of state for college?,education,student,prone to breakdowns,16,high school,healthy,middle class,single,female
"Will homeschooling affect my chances of getting into top film schools like USC, UCLA, or NYU?",education,YouTube video editor,stressed,16,11th grade,healthy,low income,not given,not given
Can I do my master in the US if I failed 7 subjects?,education,working at a local bank,not specified,26,bachelor's degree,suffering mentally and physically,not given,not given,not given
Should I keep my essay and take out the helping children stuff or do I write about something impactful I learned about in my intro to accounting class?,education,student,struggling with body image issues,17-18,high school,healthy,low income,single,female
"Is it possible to eventually get accepted to a strong college if I completely change my academic life around, take hard classes, get great grades, and do extracurriculars?",education,employee at Starbucks,"severe depression, ADHD",18 almost 19,high school,not healthy,not given,not given,not given
How hard is it for fresher production designers to get a gig in today's industry?,education,production designer,stressed about future and financial situation,22,architecture degree,parents are not in their best of health,lower middle class,single,female
What should I consider when reflecting on my college experience?,education,student,healthy,21,bachelor's degree,healthy,middle class,single,female
I don't know where to turn or how to deal with everything going on. Any advice or support would be appreciated.,education,student,depression,22,baccalauréat,depressed,struggling,single,male
How can I move forward with completing my BA in business administration after running out of financial aid?,education,not specified,not specified,46,bachelor’s,not specified,not specified,not specified,female
How can I prepare myself to make friends in university?,education,part-time job,"social anxiety, low self-esteem, possible depression",18,high school senior,generally healthy,middle class,single,female
What schools have amazing merit aid (near full ride level)?,education,student,misdiagnosed with depression and ADHD,17,high school,has an autoimmune condition and a bone tumor,middle class,single,female
What can I do to make my application better?,education,student,anxious,17,high school senior,healthy,poor,single,female
Can I still sign up for classes at my college if I owe them money?,education,phlebotomist,not specified,26,some college,healthy,poor,single,female
What sort of colleges should I apply to this fall?,education,student,not specified,18-20,high school diploma,healthy,middle class,single,female
Please suggest me fitting universities for my college applications.,education,student,not specified,18-22,high school,underwent major open heart surgery,middle class,single,male
What advice do you have for someone who studied dentistry but wants to switch to computer science at the age of 23?,education,dentist,feeling empty,23,not given,not given,poor,not given,not given
Where do I start with taking online community college classes while working full time?,education,minimum wage worker,anxious,21,high school diploma,healthy,poor,single,female
What shall I do right now during freshman year to benefit later?,education,student,not specified,14,high school freshman,not specified,not specified,not specified,not specified
"If both parents have disowned me, where does that leave me with first gen status?",education,stable job,mother has severe untreated bipolar disorder,26,community college,mother has severe untreated bipolar disorder,not privileged,in a relationship,not given
Can you give some advices to an international nursing student?,education,elder caregiver,anxious,29,high school,healthy,financially stable,divorced,not given
How is it even possible to make a good informed choice that won't disappoint you?,education,student,uncertain about life and career,20,enrolled in aerospace program,healthy,not wealthy,not given,not given
What do I do to get into a good college when I feel like I'm just an average student?,education,student,anxiety about future,16,High School,healthy,middle class,single,female
"Any thoughts on where I should apply Early Decision: Cornell, Brown, or Harvard?",education,student,stressed,17,high school,has medical issues,middle class,single,male
What should I do about my uncertain PhD funding situation?,education,PhD student in Chemistry,exhausted and defensive,mid-30s,undergraduate degree,not given,not given,not given,not given
What should I consider when pursuing further education and career options for financial freedom and location independence?,education,Design Engineer,motivated,27,Bachelor's degree,healthy,middle class,single,male
"Would a Master’s (MS/MBA in Tech, Business, or Finance) be worth it at 27, given my background?",education,Design Engineer,motivated to change,27,Bachelor's degree,healthy,middle class,single,male
Members please guide me in refining my application for the next cycle.,education,Entrepreneur,not specified,26,Political Science Grad,survived an extremist attack,financial turmoiled,single,male
Am I designed to be a bottom feeder for the rest of my life? Is it too late? Am I delusional to believe that I matter and that I can do something meaningful?,education,teacher,anxiety,30s,Engineering degree,unhealthy,poor,single,male
What the fuck else do I do to become more qualified?,education,researcher,depressed,30,Master's degree,overweight,poor,single,male
"What are some safe universities for my profile in Canada, UK, and Germany?",education,web application tester,tired and hopeless,24,B.E EEE,healthy,middle class,single,female
What other options outside science haven't I considered?,education,Research Assistant,stressed,24,Bachelors,burnt out,uncertain,single,female
What should I do at this point of time for improving my profile and are there any chances to get into colleges like LSE or King's or HEC Paris?,education,student,anxious,21,undergraduate,healthy,poor,single,female
How can I stay motivated after facing setbacks in my education and mental health?,education,student,"bipolar disorder, eating disorder",26,not given,"eating disorder, bipolar disorder",not given,not given,not given
How can I endure the stress of applying for a PhD after multiple rejections?,education,researcher,stressed,30s,master's,healthy,middle class,married,male
Is starting PhD at 29 too old for a female?,education,jobless,feeling lost and struggling emotionally,29,not specified,healthy,poor,single,female
What are y'all's thoughts on what the better option is for my graduate program in psychology?,education,psychologist,stressed,22,bachelor's degree,healthy,middle class,single,female
Is it time for giving up?,education,not given,feeling inferior and considering giving up,31,bachelor's degree,father had a brain hemorrhage,not given,getting married soon,not given
"What should I consider when deciding between graduate programs in the UK, Canada, and the US?",education,student,stressed,20s,undergraduate degree,concerned about access to necessary healthcare,middle class,single,female
How can I move past this feeling of dejection after not getting accepted into any colleges?,education,not given,depressed,late 20s,bachelor's degree,seriously ill,not given,single,not given
"Given all the factors, market conditions, job prospectus, university and growth in terms of my career, will it wise to take it or its too much uncertainty regarding visa and immigration?",education,Development professional,anxious,23,MS,healthy,middle class,single,female
What should I consider when applying to graduate school for neurophysics or particle physics?,education,undergraduate student,experiencing emotional turmoil,around 23,BS in progress,experiencing medical issues,low-income,single,not specified
How can I make changes in my life when I feel like everything is falling apart?,education,student,feeling hopeless and overwhelmed,20s,undergraduate,deteriorating health,broke,single,not given
Is 37 too old to start a PhD?,education,data engineer,not given,33,masters,healthy,middle class,not given,not given
What do folks here think I should do?,education,postbac fellow,experienced a mental health episode,25,undergraduate,medically withdrawn due to mental health episode,middle class,single,male
What should I consider when applying to graduate programs with a low GPA and no publications?,education,student,experiencing panic attacks and anxiety,22-25,undergraduate degree,dealing with health issues,poor,single,not given
Should I accept PhD offer from my PI?,education,biologist,unsure,24,master's degree,healthy,poor,single,female
Which GRE score should I submit for MBA applications for the 2025 intake?,education,not specified,not specified,27,graduated from one of the top NITs,diagnosed conditions,not specified,single,female
"Has anyone else been in my position? Where you seem to be qualified, but don’t feel that way?",education,media buyer,low self-esteem,28,Bachelor's degree,ADHD,middle class,not given,not given
Should I apply to less competitive universities for statistics or try to get into higher ranked universities through Business Analytics programs with a strong GRE score?,education,student,significant mental health issues,22,bachelor's degree,struggling with mental health issues,middle class,single,not given
"Did I understand correctly that in the US, a master’s degree isn’t always required for a PhD, and can I earn a master’s by converting coursework taken during the first two years of the program?",education,climbing instructor,not given,29,undergraduate,healthy,middle class,not given,not given
Are you guys planning to move if you get into your dream school?,education,student,secure and confident,30+,PhD,healthy,middle class,in a relationship,not given
Would it also be worth reaching out to admissions offices with my story to gauge my fit for their programs?,education,student,experiencing significant personal challenges,22,Bachelor's degree (in progress),survivor of sexual assault,low-income,single,female
"How did you balance everything—mental health, application prep, and managing family pressure—while working towards your goals?",education,recent graduate,"depressed, stressed, overwhelmed",around 25,Bachelor's degree,constant stomach pain,financially struggling,not given,not given
How and where do I start preparing for the Interviews?,education,media professional,anxious,around 25-30,Masters,healthy,unemployed,single,female
"How can I come up with $1,000 for my master's program deposit after being laid off?",education,unemployed,overwhelmed,20s,master's programme,not specified,broke,single,not given
"Is the CS MS program at USC really worth it, or should I prepare for the GRE again and apply for an MBA next year?",education,software engineer,uncertain,28,undergraduate degree,healthy,middle class,single,female
Any thoughts?,education,prospective grad student,hardcore anxiety,25,BA Linguistics,not given,not given,not given,not given
What universities in the USA offer full funding for master’s programs in AI or Computer Vision?,education,Junior Computer Vision Developer,not given,23,Bachelor’s in Computer Science,obesity due to hormonal issues and weak eyesight,financially constrained,not given,not given
Do you think there's any way I can use the next 6-8 months to build relationships or volunteer in a space that might increase my likelihood of acceptance? Is it too late for me?,education,student,moderate/severe depression,30,BS in Biology,moderate/severe depression,low income,single,female
Should I pursue an MBA/MPA or a Master's in design-tech?,education,working in tech,stable,35,Bachelor's degree,healthy,no financial support,single,female
Would this job-hopping be seen as a red flag by admissions committees?,education,consultant,healthy,29,Masters,healthy,middle class,single,male
What do other people do when they pursue grad school later in life?,education,Special Education,"previously untreated ADHD, Social Anxiety, and Depression",32,undergraduate degree,"treated ADHD, Social Anxiety, and Depression",not specified,not specified,female
Please send advice on how to manage my time and study effectively for the GRE and IELTS in two weeks.,education,student,depression,20s,undergraduate,PCOS,middle class,single,female
How competitive of an applicant am I for neuroscience PhD programs?,education,researcher,depression,33,PhD,depression,middle class,not given,male
Please evaluate my application for ESCP MIM2025.,education,Student,average,23,Bachelor’s,healthy,middle class,single,male
"What countries and institutes are good options for someone like me, where I’d be able to carve out a good life as a queer individual but also gauge my interests in CS as a person without a formal degree in the subject?",education,data scientist,not specified,27,masters in data science,healthy,middle class,single,trans guy
Should I pursue a retroactive withdrawal from that last semester to improve my GPA to 2.69? And how much of my story should I disclose in my application?,education,government jobs,"depression, anxiety, ADHD",over 30,bachelor’s degree,receiving better ADHD treatment,struggling,not given,not given
Do you guys think it would be worth it to hire a graduate school coach?,education,substitute teacher,struggled a lot during undergrad,20s,bachelor's degree,doing a whole lot better now,middle class,single,female
How do I pay for my education in Australia?,education,student,feeling overwhelmed,21,undergraduate,needs MRI,poor,single,female
What are my chances of getting into a Cell and Molecular Bio PhD program?,education,chemistry technician,anxious,20,"BA in Biochemistry, Cell, and Molecular Biology",healthy,middle class,single,male
How do I go about applying for my dream schools in cybersecurity?,education,student,struggling with emotional trauma,24,Bachelor's degree,healthy,middle class,divorced,female
Is my list of PhD programs healthy for an international student considering funding opportunities?,education,biotechnology student,healthy,22,Masters' equivalent,healthy,middle class,single,male
Do I have a leg in life? Is there a second chance?,financial,delivery driver,feeling hopeless,23,not given,not given,poor,not given,not given
How can I find a job despite the challenges I'm facing?,financial,job seeker,depression,21,not specified,autism,poor,single,female
Does anyone else feel like this?,financial,not given,fear of people and losing what they have,30,not given,skin problems and health issues,poor,single,not given
How do you move forward when you’ve been raised by financially irresponsible parents who expect you to clean up their mess?,financial,student,"general anxiety, social anxiety, depression",19,some college,skinny fat,poor,single,male
Are there any programs I can utilize before I submit my 2024 taxes?,financial,independent contractor,not specified,30s,no college degree,injured,low income,unmarried,female
Do I have any options here regarding my IRS debt situation?,financial,not given,not given,22,not given,not healthy,poor,not given,not given
"If you have any advice or anything beneficial to share, please do.",financial,construction worker,depressed,26,some college,healthy,poor,single,male
How can I improve my financial situation for a better retirement?,financial,high-paying job without degree or certification,feeling hopeless,30s,not specified,healthy,poor,single,male
"Never gonna have a job, now what?",financial,recent college graduate,depressed,21,college degree,healthy,poor,single,male
What can I do to improve my credit score?,financial,supervisor,healthy,21,undergraduate,healthy,middle class,single,male
How can I get out of my current financial mess and avoid losing my job due to unpaid rent?,financial,student,stressed,26,university degree,healthy,poor,single,male
How can I cope with the pain and fear of being homeless and dealing with my leg injury?,financial,not given,"overwhelmed, emotionally exhausted",19,not given,dealing with an avulsion fracture and infection,poor,single,not given
Anyone have any suggestions to get out of this hole?,financial,"office worker, flower shop employee, restaurant worker",suicidal attempt survivor,30s,working on EA licensing,poor,poor,engaged,female
How can I find peace in my day-to-day life despite feeling frustrated about my situation?,financial,employed,anxiety,30s,college degree,healthy,poor,single,female
Is starting a go fund me to help my mom with her vehicle a good idea?,financial,works for a senior care company,not specified,40s,not specified,has MS,poor,single,female
What are my options if I continue to not find work?,financial,artist/content creator,depressed,30,university degree,depressed,poor,single,female
How can I get money 100€ for my rent?,financial,college student,stressed,20s,college,mentally and physically drained,poor,single,not given
What should I consider when starting a new career as a tour planner or online teacher?,financial,freelance translator,anxiety,over 30,master's degree,healthy,middle class,divorced,female
What should I do to improve my situation after losing my apartment and feeling demoralized?,financial,non profit job,possible ADHD,30,not given,not healthy,poor,not given,not given
At around what age should a child have their own room?,financial,unknown,stressed,30s,unknown,disabled,middle class,divorced,female
Where is a cheap place to live? Is two people working minimum wage good enough? Should we move to a different country instead? How hard is welding to get into? Should I be a trucker instead?,financial,aspiring chef,boyfriend is suicidal,16,high school,injured from being hit by a car,poor,in a relationship,female
Can anybody help me with a donation or boost to my friend's campaign?,financial,university graduate working completing paperwork in courts,stressed,36,university graduate,caregiver for paralysed mother,poor,married,male
How can I find a house that fits my budget and allows pets?,financial,new job with better pay,depressed,20s,not specified,hair falling out and greying,middle class,married,male
How much is insurance usually for low income people that aren't on Medicaid?,financial,gig worker,depressed,over 30,not specified,"suffering from scoliosis, sciatica, and multiple autoimmune conditions",poor,not specified,not specified
How can I make it?,financial,job offer lined up,traumatized,24,completed education,healthy,poor,married,female
"How can I manage the $2,000 I need to pay out of pocket for college?",financial,student,feeling hopeless,21,college,healthy,poor,single,female
Anyone have any ideas?,financial,part time minimum wage job,"prone to melodrama, catastrophizing",30s,some college,knee issues,poor,single,male
Should we tell dad we want to live together?,financial,looking for work,not given,45,not given,pregnant,poor,not given,male
How can I cope with my mom's shaming about my job as a housekeeper?,financial,housekeeper,discouraged,28,honors degree and two masters,healthy,struggling,single,female
What would be appropriate to allocate to stocks and what would be appropriate if at all to allocate to a house for our financial situation?,financial,disabled,PTSD,36,not specified,permanently disabled,poor,married,female
How can I increase my income right now?,financial,data entry specialist,not specified,25,BA in CS,healthy,low income,in a relationship,male
